ident;type;name;elevation_ft;continent;iso_country;iso_region;municipality;gps_code;iata_code;local_code;coordinates1;coordinates2
LIRE;medium_airport;Pratica Di Mare Air Base;41;EU;IT;IT-62;Pomezia;LIRE;;RM22;12,4452;41,654499
LIRF;large_airport;Leonardo da VinciâFiumicino Airport;13;EU;IT;IT-62;Rome;LIRF;FCO;RM11;12,2388889;41,8002778
LIRG;medium_airport;Guidonia Air Base;289;EU;IT;IT-62;Guidonia;LIRG;;RM13;12,7408;41,990299
LIRI;medium_airport;Salerno Costa d'Amalfi Airport;119;EU;IT;IT-72;Salerno;LIRI;QSR;SA02;14,9113;40,620399
LIRJ;medium_airport;Marina Di Campo Airport;31;EU;IT;IT-52;Marina  Di Campo;LIRJ;EBA;LI04;10,2394;42,7603
LIRL;medium_airport;Latina Air Base;94;EU;IT;IT-62;Latina;LIRL;QLT;LT02;12,909;41,5424
LIRM;medium_airport;Grazzanise Air Base;29;EU;IT;IT-72;Caserta;LIRM;;CE07;14,0819;41,060799
LIRN;large_airport;Naples International Airport;294;EU;IT;IT-72;NÃ¡poli;LIRN;NAP;NA01;14,2908;40,886002
LIRP;large_airport;Pisa International Airport;6;EU;IT;IT-52;Pisa;LIRP;PSA;PI05;10,3927;43,683899
LIRQ;medium_airport;Peretola Airport;142;EU;IT;IT-52;Firenze;LIRQ;FLR;FI04;11,2051;43,810001
LIRS;medium_airport;Grosseto Air Base;17;EU;IT;IT-52;Grosetto;LIRS;GRS;GR06;11,0719;42,759701
LIRU;medium_airport;Urbe Airport;55;EU;IT;IT-62;Roma;LIRU;;RM10;12,4989;41,9519
LIRV;medium_airport;Viterbo Airport;992;EU;IT;IT-62;Viterbo;LIRV;;VT03;12,0642;42,430199
LIRZ;medium_airport;Perugia San Francesco d'Assisi â Umbria International Airport;697;EU;IT;IT-55;Perugia;LIRZ;PEG;PG10;12,5132;43,095901
LJCE;medium_airport;Cerklje Airport;510;EU;SI;SI-009;Cerklje ob Krki;LJCE;;;15,5302;45,90000153
LJLJ;large_airport;Ljubljana JoÅ¾e PuÄnik Airport;1273;EU;SI;SI-061;Ljubljana;LJLJ;LJU;;14,4576;46,223701
LJMB;medium_airport;Maribor Airport;876;EU;SI;SI-070;;LJMB;MBX;;15,68610001;46,47990036
LJPZ;medium_airport;Portoroz Airport;7;EU;SI;SI-090;Portoroz;LJPZ;POW;;13,61499977;45,47340012
LKCV;medium_airport;ÄÃ¡slav Air Base;794;EU;CZ;CZ-ST;ÄÃ¡slav;LKCV;;;15,3817997;49,93970108
